Istota uczenia się. Wykorzystanie wyników badań w praktyce ,"David Istance
                        , 
                                                                                        Francisco Benavides
                        , 
                                                                                        Hanna Dumont","['Książki / biznes / zarządzanie', 'Książki / nauki humanistyczne / psychologia', 'Książki / prawo / inne gałęzie prawa']",okładka miękka,Wolters Kluwer Polska,516,2013-02-15,"64,50 zł"
Sztuka wojny ,"Sun Tzu
                        , 
                                                                                        Sun Pin","['Książki / biznes / zarządzanie', 'Książki / proza / proza obca / klasyka', 'Książki / poradniki']",okładka twarda,"One Press, Helion",320,2014-03-06,"34,50 zł"
Szpitalny oddział ratunkowy. Zarządzanie operacyjne i optymalizacja ,"John Shiver
                        , 
                                                                                        David Eitel","['Książki / biznes / marketing', 'Książki / prawo']",okładka miękka,Wolters Kluwer Polska,300,2020-02-14,"46,00 zł"
Ego to Twój wróg ,Ryan Holiday,"['Książki / biznes / praca', 'Książki / poradniki / rozwój osobisty']",okładka miękka,"One Press, Helion",208,2018-01-12,"37,00 zł"
Superwizja. Jak chronić się  przed wypaleniem zawodowym i utratą zdrowia ,Beata Mańkowska,"['Książki / biznes / praca', 'Książki / biznes / zarządzanie']",okładka miękka,Wolters Kluwer Polska,182,2020-02-14,"46,00 zł"
Finansowanie zadań oświatowych. Komentarz ,"Artur Olszewski
                        , 
                                                                                        Daria Pietrzykowska
                        , 
                                                                                        Grzegorz Pochopień
                        , 
                                                                                        Krzysztof Tusiński
                        , 
                                                                                        Mateusz Pilich
                        , 
                                                                                        Dawid Sześciło","['Książki / biznes / bankowość i finanse', 'Książki / prawo / inne gałęzie prawa']",okładka twarda,Wolters Kluwer Polska,436,2020-01-31,"139,00 zł"
Ustawa o finansach publicznych. Komentarz ,"Michał Stawiński
                        , 
                                                                                        Ewa Kowalewska
                        , 
                                                                                        Paweł Mańczyk
                        , 
                                                                                        Wojciech Bożek
                        , 
                                                                                        Małgorzata Izabela Ofiarska
                        , 
                                                                                        Katarzyna Kopyściańska
                        , 
                                                                                        Paweł Lenio
                        , 
                                                                                        Przemysław Pest
                        , 
                                                                                        Małgorzata Cilak
                        , 
                                                                                        Rafał Sura
                        , 
                                                                                        Wiesława Maria Miemiec
                        , 
                                                                                        Andrzej Borodo
                        , 
                                                                                        Paweł Majka
                        , 
                                                                                        Krystyna Sawicka
                        , 
                                                                                        Krzysztof Czarnecki
                        ,","['Książki / biznes / bankowość i finanse', 'Książki / prawo / podatkowe']",okładka twarda,Wolters Kluwer Polska,1556,2020-02-07,"269,00 zł"
Dystrybucja ubezpieczeń. Komentarz ,"Monika Szaraniec
                        , 
                                                                                        Mariusz Fras
                        , 
                                                                                        Katarzyna Malinowska
                        , 
                                                                                        Bartosz Kucharski
                        , 
                                                                                        Dorota Maśniak","['Książki / prawo / gospodarcze', 'Książki / biznes']",okładka miękka,Wolters Kluwer Polska,472,2020-02-13,"212,50 zł"
Ustawa o finansach publicznych. Ustawa o dochodach jednostek samorządu terytorialnego. Przepisy ,,"['Książki / biznes / bankowość i finanse', 'Książki / prawo / podatkowe', 'Książki / prawo / finansowe']",okładka miękka,Wolters Kluwer Polska,336,2019-09-02,"15,00 zł"
Testy dla menedżerów stawiających na efektywność ,Bill Reddin,"['Książki / biznes / zarządzanie', 'Książki / poradniki / psychologia']",okładka miękka,Alma-Press Oficyna Wydawnicza,228,2020-02-24,"33,00 zł"
Projektowanie systemów podwyżkowych ,Robert Manikowski,"['Książki / biznes / praca', 'Książki / prawo / pracy']",okładka miękka,Wolters Kluwer Polska,144,2018-11-16,"64,50 zł"
Szkoła w zreformowanym systemie edukacji. Zadania dyrektorów i organów prowadzących ,Agata Piszko,"['Książki / biznes / zarządzanie', 'Książki / prawo / inne gałęzie prawa']",okładka miękka,Wolters Kluwer Polska,274,2017-08-23,"83,00 zł"
Zarządzanie podmiotem leczniczym akredytowanym ,"Joanna Mrowicka
                        , 
                                                                                        Łukasz Małecki-Tepicht
                        , 
                                                                                        Małgorzata Jabłońska","['Książki / biznes / marketing', 'Książki / prawo']",okładka miękka,Wolters Kluwer Polska,404,2017-08-21,"157,50 zł"
Szkolnictwo branżowe w nowym prawie oświatowym ,"ELŻBIETA PIOTROWSKA-ALBIN
                        , 
                                                                                        LIDIA MARCINIAK","['Książki / biznes / zarządzanie', 'Książki / nauki humanistyczne / pedagogika', 'Książki / prawo / inne gałęzie prawa']",okładka miękka,Wolters Kluwer Polska,96,2017-06-13,"73,50 zł"
